:START_ID(Executive),jobs,:END_ID(Stock),:TYPE
4ac234efb692ab9ce502982e7e2efc67,董事,600188,employ_of
20feebddd37158bb7acc0800c1768294,董事,600188,employ_of
6148f91722f882c544a9d0274fc7691e,董事,600188,employ_of
12e720f6091f02bec4005ee501ea9999,董事,600188,employ_of
d681ebe2cbd52f572aabaca950dc858a,独立董事,600188,employ_of
e322e986f84f668842c89ea1b0759c10,独立董事,600188,employ_of
4305cac18bc0595fab6bdf8cbcf30380,独立董事,600188,employ_of
0abb2f11db91b5df8d2f002c0e75eb1c,独立董事,600188,employ_of
bad90859ea96f02f5c7b243e77172a7c,职工董事,600188,employ_of
346d8b931ddad2e76e199d4c2bb88f45,董事长/董事,002546,employ_of
ed3d56c0dc66880c6f70e583c18ec0c8,副董事长/董事,002546,employ_of
1e68d32651ab9502a61446808b3b801e,董事,002546,employ_of
3260d6c25a94b4c455cc986ea6919d93,董事,002546,employ_of
9a1da11cd76d247f1e55b8a4a7dd8b03,董事,002546,employ_of
4d47adfadfab44aceca56e01f2b64eed,董事,002546,employ_of
afd910c15af01b8a045def9c87061860,独立董事,002546,employ_of
c7190727fc3b17420a97ac416446bb09,独立董事,002546,employ_of
981dfcace15f7a68f2f888ac44c28d37,独立董事,002546,employ_of
eaee52999ffb69a092378f075b3f7dc4,董事长/董事,002053,employ_of
28196b09401579f61c029302958f80bc,董事,002053,employ_of
02d0f15ce20764ca8cf490edeee297e5,董事,002053,employ_of
4e1c7590e9497355a0aadabe2b6211ac,董事,002053,employ_of
d30d3d96e5bbb040063570a070298e4f,董事,002053,employ_of
16425380596bec7e5cc1f113c3e75535,董事,002053,employ_of
c8bb9a04ae8d70df1e1aa4f592638d47,独立董事,002053,employ_of
14fd59c9073791a142ed37bb31df34bc,独立董事,002053,employ_of
24a036ad89a5413993c086d5119fc488,独立董事,002053,employ_of
2c4b77f4cb2d0752be3f7cb5e019427f,董事长/董事,000594,employ_of
6e76ec4d34dfffb34328c38c205d64b0,董事,000594,employ_of
65d662778133210666c7adbc6932dc68,董事,000594,employ_of
8199b05693b960e0c27a0aef12779457,独立董事,000594,employ_of
e3772c84b4ec49bbd7647a34a0a62915,独立董事,000594,employ_of
47969920e50f3d19adbdc41ac1c648fc,独立董事,000594,employ_of
9023769a6328e6b0db55baa0eb5936b5,董事长/董事,600167,employ_of
54860682a35c9c84d91f0ce8a95a9e0e,董事,600167,employ_of
c67f5f5f36a26b5fb27f14e27c076c0d,董事,600167,employ_of
0eb0c7fd48e0ce46732047ea73f324ec,董事,600167,employ_of
b3cf5f30121cfdfdecdd7de49ef23069,独立董事,600167,employ_of
d6c0da0a99bd32d3fdfefa64029460eb,独立董事,600167,employ_of
976c6b28517d516fb80ade42fe35a81a,独立董事,600167,employ_of
6a96ec4695c0ee76eadbd509245dbed7,董事长/董事,002403,employ_of
e74cb7fa91d663eace9dea68937ffb0e,董事,002403,employ_of
98d34074f2115464ef6e758621a727fb,董事,002403,employ_of
f5f7018985720911b3264450d6fb9573,董事,002403,employ_of
27f88027f3a9a00d27693ffb948b2d2f,独立董事,002403,employ_of
abddf33da352f7870617ee6164e87064,独立董事,002403,employ_of
d6b2431922192d00b5c6b2b7df145192,独立董事,002403,employ_of
12c4922e58b84ac732c5fba46872891b,董事长/董事,300191,employ_of
4fdadb621595ab7f91cf153dd27bdb57,董事,300191,employ_of
38ffc47020a8215bffd9597916988468,董事,300191,employ_of
3b1d1f6e6b50719ef75b5bbbf1e5560e,董事,300191,employ_of
1551faf4029f379d93d9099eb97789c6,独立董事,300191,employ_of
5aa2cb9edb5fd531f225236bf48ccf8b,独立董事,300191,employ_of
7b434482504a5b3f61f678b4c2e63024,独立董事,300191,employ_of
88f16148e63778a9fcb4da0a90298f52,董事长/董事,600537,employ_of
43721d6d94abb5b37a6f52818165d52b,董事,600537,employ_of
92a639c4dc08474f291638353f1e9a78,董事,600537,employ_of
a98da2f4228631f0ec03a78ba07195a1,董事,600537,employ_of
9a53f1d327c7f27e74e9240c6515813c,董事,600537,employ_of
af2ffb073fddb2c395cc84aabba51d96,董事,600537,employ_of
bb6c35f1006f7a1963cfbebc0fe866b8,独立董事,600537,employ_of
ad8abdba0a28293b378f8dbfa0ea333a,独立董事,600537,employ_of
6ddd871253206693fa4478426168a87e,独立董事,600537,employ_of
